"	Gendre ",School location,Age,Type of school,Level of education,Used computer,Usage years,Subjects,Weekly time usage,activities during lessons,Produce text , Email to student/teacher,Use spreadsheet,Create a presentation,Organize files ,Install a software , discussion online,Use internet , outside class access,Outside class activities,It is really important to me to work with a computer ,Using a computer for learning is fun,because im very interested in computers,I lose track of time when learning with a computer, To what extend do you agree with these statements regarding use of computers in school? [It will help me with my future studies],It is not necessary to use one for learning
Male,Meru,17,Public,Secondary,Yes,Between 1 to 3 years,Computer studies,1hr to 2hrs a week,Work in small groups,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Yes,To access the internet;To access information and download files;To watch videos;Reading news and current affairs,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree
Male,Kakamega,12,Private,Primary,Yes,Between 1 to 3 years,Computer studies,1hr to 2hrs a week,Investigate and explore issues individually or in small groups;Search the internet to collect information,A little,Not at all,,Not at all,A little,Not at all,Not at all,Not at all,No,,Strongly agree,Strongly agree,Strongly agree,Agree,,Strongly disagree
Male,Nairobi ,18,Public,Secondary,Yes,Between 1 to 3 years,Social studies;Computer studies,1hr to 2hrs a week,Listen to teachers’ presentation;Accessing school website;Search the internet to collect information,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Yes,To access the internet;To watch videos;To search for individual reasons(homework);Reading news and current affairs;Following up lessons;Online classes,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree
Female,Mombasa,16,Public,Secondary,Yes,Between 1 to 3 years,Computer studies,3hrs to 5hrs a week,Listen to teachers’ presentation;Work in small groups;Do tasks collectively;Accessing school website,A lot,A lot,Somewhat,A lot,A lot,Somewhat,A lot,A lot,Yes,Following up lessons;Online classes,Agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree
Female,Mombasa,17,Public,Secondary,No,,,,,,,,,,,,,,,,,,,,
Male,Nakuru,18,Public,Secondary,Yes,Less than 1 year,Computer studies,Less than 1hr a week,Do tasks collectively,A little,Somewhat,,,,,,,No,To access the internet,Strongly agree,Agree,,,,Strongly agree
Female,Elgeyo Marakwet,17,Private,Secondary,Yes,Between 1 to 3 years,Sciences,3hrs to 5hrs a week,Investigate and explore issues individually or in small groups,A lot,A lot,A little,Not at all,A little,Not at all,A little,A lot,No,Reading news and current affairs,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree
Male,Busia,17,Public,Secondary,Yes,Less than 1 year,Computer studies,1hr to 2hrs a week,Work in small groups,Somewhat,A little,Somewhat,Somewhat,Somewhat,Somewhat,A little,Somewhat,No,,Agree,Agree,Agree,Disagree,Agree,Disagree
Male,Nairobi,16,Public,Secondary,Yes,Between 4 to 6 years,"Test languages (e.g., English, Kiswahili);Computer studies;Foreign languages (e.g., French)",3hrs to 5hrs a week,Listen to teachers’ presentation;Work in small groups;Do tasks collectively;Search the internet to collect information,A lot,A lot,Somewhat,A little,A lot,A lot,A lot,A lot,Yes,To access the internet;To access information and download files;To learn a foreign language;To watch videos;To search for individual reasons(homework);Reading news and current affairs;Following up lessons;Using email to communicate with teachers and other students;Online classes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree
Female,Nairobi,16,Private,Secondary,Yes,Between 4 to 6 years,Computer studies,3hrs to 5hrs a week,Do tasks collectively;Accessing school website;Search the internet to collect information,A lot,,A lot,,,,,A lot,Yes,To access the internet;Reading news and current affairs,Agree,,,,,
Male,Elgeyo Marakwet,13,Private,Primary,Yes,Between 4 to 6 years,"Mathematics;Test languages (e.g., English, Kiswahili);Social studies;Computer studies",More than 5hrs a week,Work in small groups;Do tasks collectively;Investigate and explore issues individually or in small groups;Search the internet to collect information,A lot,A lot,Somewhat,Somewhat,A lot,Somewhat,Somewhat,Somewhat,No,,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree
Female,Nairobi ,17,Private,Secondary,Yes,Between 1 to 3 years,"Mathematics;Computer studies;Foreign languages (e.g., French);Sciences",3hrs to 5hrs a week,Listen to teachers’ presentation;Listen to student presentation;Investigate and explore issues individually or in small groups;Accessing school website,A little,A little,A little,Not at all,A little,A little,A little,A little,Yes,To access the internet;To access information and download files;To watch videos;Following up lessons;Online classes,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree
